"","signature","repository","script","text-height","text-width","text-src","illustrations","date_min","date_max","leaf-height","leaf-width","leaf-src","number-lines","material","physical-type","country","region","columns"
"1","Schloss Anholt (Isselburg), Fürstl. Salm-Salm'schen Archiv, membra disiecta 3","Schloss Anholt (Isselburg), Fürstl. Salm-Salm'schen Archiv","textualis",220,164,"original",0,1320,1325,"308","215","current",32,"parchment","fragment",NA,NA,2
"2","Berlin, Staatsbibliothek, germ. fol. 923, 38","Berlin, Staatsbibliothek",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,"parchment","fragment","Germany","Bayern",NA
"3","Linz, Landesarchiv, 96/IV/54","Linz, Landesarchiv",NA,212,163,"original",0,1390,1410,"280","200","current",31,"paper","codex",NA,NA,2
"4","Brussels, Koninklijke Bibliotheek, II 115,2","Brussels, Koninklijke Bibliotheek","textualis",185,132,"original",0,1340,1360,"230","155","original",39,"parchment","fragment","Southern Netherlands","Flanders",2
"5","Munich, Staatsbibliothek, cgm. 5249 / 3b","Munich, Staatsbibliothek","textualis",195,127,"original",0,1275,1300,"232","160","current",42,"parchment","fragment",NA,NA,2
"6","Paris, Bibliothèque de l' Arsenal, 3483-94 [3491]","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1400,1500,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"7","St-Brieuc, Archives départementales Côtes du Nord,","St-Brieuc, Archives départementales Côtes du Nord",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"8","Oxford, Bodleian Library, Douce 379","Oxford, Bodleian Library",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,NA,"fragment",NA,NA,2
"9","Escorial, Real Biblioteca del Monasterio, M. III. 21","Escorial, Real Biblioteca del Monasterio","textualis",224,128,"original",0,1275,1300,"260","128","current",45,"parchment","codex","France","Normandy",2
"10","Vatican, Biblioteca Apostolica Vaticana, Pal. Lat. 1967","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,1275,1280,NA,NA,NA,NA,NA,"codex","France","Paris",NA
"11","London, British Library, Harley 4971","London, British Library","cursive",NA,NA,NA,0,1340,1360,NA,NA,NA,44,"parchment","codex",NA,NA,3
"12","Côtes-du-Nord, Archives départementales, 6","Côtes-du-Nord, Archives départementales",NA,NA,NA,NA,0,1400,1500,"368","260","current",NA,"parchment","fragment",NA,NA,NA
"13","Aberystwyth, National Library of Wales, Peniarth 11","Aberystwyth, National Library of Wales",NA,NA,NA,NA,5,1375,1400,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"14","Reykjavik, Árni Magnússon-institutet, AM 527, 4o","Reykjavik, Árni Magnússon-institutet",NA,NA,NA,NA,0,1600,1700,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"15","Paris, Bibliothèque de l' Arsenal, 3357","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,0,1488,1488,"283","200","current",NA,"paper","codex",NA,NA,NA
"16","Modena, Biblioteca Estenze, E 59 (alfa T.3.11)","Modena, Biblioteca Estenze","textualis",NA,NA,NA,27,1300,1325,"430","350","current",NA,"parchment","codex","Italy","Naples",2
"17","Chantilly, Musée Condé, 645 - 647 (ex 315-317) [645 (ex 315)]","Chantilly, Musée Condé",NA,NA,NA,NA,0,1470,1490,"405","280","current",NA,NA,"codex","France","Ahun",NA
"18","Reykjavik, Landsbókasafn Íslands, Lbs 3003, 8o","Reykjavik, Landsbókasafn Íslands",NA,NA,NA,NA,0,1800,1900,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"19","Aberystwyth, National Library of Wales, Llanstephan 171","Aberystwyth, National Library of Wales",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"codex",NA,NA,NA
"20","London, British Library, Harley 6341-6342 [Harley 6342]","London, British Library",NA,NA,NA,NA,0,1488,1488,NA,NA,NA,37,"paper","codex",NA,NA,2
"21","Chantilly, Musée Condé, 644 (1081)","Chantilly, Musée Condé",NA,NA,NA,NA,0,1300,1350,"257","176","current",34,"parchment","codex",NA,NA,2
"22","Meiningen, Hofbibliothek, Archivaliensammlung HAV Nr. 478[formerly 29b]","Meiningen, Hofbibliothek",NA,145,111,"original",0,1300,1325,"185","145","current",35,"parchment","fragment",NA,NA,2
"23","Paris, Bibliothèque Nationale de France, nouv. acq. fr. 934 (Merlin)","Paris, Bibliothèque Nationale de France","cursive",NA,NA,NA,1,1350,1375,"299","224","current",49,"parchment","fragment",NA,NA,2
"24","New York, Pierpont Morgan Library, 41","New York, Pierpont Morgan Library","hybrida",330,235,"original",80,1468,1468,"434","328","current",53,"parchment","codex","France","Bourges",2
"25","Frankfurt am Main, Stadt- und Universitätsbibliothek, germ. qu. 111","Frankfurt am Main, Stadt- und Universitätsbibliothek",NA,NA,NA,NA,0,1464,1465,"300","207","current",34,"paper","codex",NA,NA,NA
"26","Strassburg, Cathedral Library, [destroyed in fire in 1870]","Strassburg, Cathedral Library",NA,NA,NA,NA,5,1200,1300,NA,NA,NA,50,"parchment","fragment",NA,NA,2
"27","London, British Library, Add. 5474","London, British Library","textualis",NA,NA,NA,26,1280,1300,"356","253","current",48,"parchment","codex","France","Therouanne",2
"28","Berlin, Staatsbibliothek, germ. fol. 475","Berlin, Staatsbibliothek","textualis",236,176,"original",0,1350,1400,"305","235","current",34,"parchment","codex","Germany","Tirol",2
"29","Naples, Biblioteca Nazionale, XIII B 29","Naples, Biblioteca Nazionale","cursive",215,145,"original",0,1457,1457,"285","195","current",44,"paper","codex",NA,NA,2
"30","Riga, , 398","Riga,",NA,26,204,"original",0,1300,1325,"330","260","current",37,"parchment","fragment",NA,NA,2
"31","Paris, Bibliothèque Nationale de France, fr. 1493","Paris, Bibliothèque Nationale de France","cursive",190,130,"original",0,1450,1500,"297","204","current",25,"paper","codex",NA,NA,1
"32","Munich, Staatsbibliothek, cgm. 5249 / 72","Munich, Staatsbibliothek","cursive",124,100,"original",0,1350,1400,"140","110","original",31,"parchment","fragment",NA,NA,1
"33","Brussels, Koninklijke Bibliotheek, 11145","Brussels, Koninklijke Bibliotheek",NA,NA,NA,NA,0,1250,1300,"272","195","current",40,"parchment","codex",NA,NA,2
"34","London, British Library, Royal 20 A II","London, British Library","cursive - textualis",168,95,"original",19,1307,1330,"228","155","current",30,"parchment","codex",NA,NA,2
"35","Aberystwyth, National Library of Wales, Peniarth 98B","Aberystwyth, National Library of Wales",NA,NA,NA,NA,0,1616,1616,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Heidelberg, Universitätsbibliothek, Cpg 370","Heidelberg, Universitätsbibliothek",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"paper","codex",NA,NA,NA
"37","Paris, Bibliothèque Nationale de France, fr. 19162","Paris, Bibliothèque Nationale de France",NA,NA,NA,NA,83,1280,1290,"348","250","current",37,"parchment","codex","Southern Netherlands","Thérouanne",2
"38","Zwettl, Stiftsbibliothek, Fragm. Z 18","Zwettl, Stiftsbibliothek",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Trier, Stadtbibliothek, Fragment X, 11","Trier, Stadtbibliothek",NA,195,115,"original",0,1250,1300,"200","153","original",33,"parchment","fragment",NA,NA,2
"40","Geneva, Bodmer, 82 (ex-Phillipps 3713)","Geneva, Bodmer",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Nürnberg, Germanisches Nationalmuseum, 42519","Nürnberg, Germanisches Nationalmuseum",NA,220,160,"original",0,1300,1350,"285","210","current",40,"parchment","fragment",NA,NA,2
"42","Paris, Bibliothèque Nationale de France, nouv. acq. fr. 6614","Paris, Bibliothèque Nationale de France","textualis",205,175,"original",0,1275,1300,"295","225","current",NA,"parchment","codex","France","North-East France",NA
"43","Washington, Library of Congress, 69 (no. 31)","Washington, Library of Congress",NA,NA,NA,NA,0,1300,1400,NA,NA,NA,NA,NA,"fragment",NA,NA,NA
"44","Paris, Bibliothèque Nationale de France, fr. 1376","Paris, Bibliothèque Nationale de France","textualis",180,120,"original",3,1275,1300,"240","168","current",37,"parchment","codex","France","Burgundy",2
"45","Kopenhagen, Kongelige Bibliotek, Thott 775","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1566,1616,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Paris, Bibliothèque de l' Arsenal, 3347","Paris, Bibliothèque de l' Arsenal",NA,NA,NA,NA,3,1240,1260,"317","225","current",40,"parchment","codex","France","Paris",2
"47","Kopenhagen, Kongelige Bibliotek, 1685b, 4o","Kopenhagen, Kongelige Bibliotek",NA,NA,NA,NA,0,1800,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Feldkirch, Jesuitengymnasium, - [lost]","Feldkirch, Jesuitengymnasium",NA,NA,NA,NA,0,1250,1300,NA,NA,NA,44,"parchment","fragment",NA,NA,2
"49","Vatican, Biblioteca Apostolica Vaticana, Reg. Lat. 1627","Vatican, Biblioteca Apostolica Vaticana",NA,NA,NA,NA,0,1500,1600,"315","201","current",49,"parchment","codex",NA,NA,2
"50","Leiden, Universiteitsbibliotheek, Ltk. 537","Leiden, Universiteitsbibliotheek","textualis",193,140,"original",49,1372,1372,"243","168","current",27,"parchment","codex","Germany","Amelungsborn",2
"51","Berlin, Staatsbibliothek, germ. fol. 923, 5","Berlin, Staatsbibliothek","textualis",155,103,"original",0,1290,1310,"150","105","current",32,"parchment","fragment","Germany","West-Germany",2
