CASE	DICE
1	0.190
2	0.062
3	0.060
4	0.064
5	0.101
6	0.147
7	0.062
8	0.184
9	0.150
10	0.050
11	0.187
12	0.167
13	0.076
14	0.096
15	0.067
16	0.180
17	0.144
18	0.092
19	0.073
20	0.116
21	0.142
22	0.063
23	0.150
24	0.118
25	0.149
26	0.089
27	0.147
28	0.180
29	0.156
30	0.125
31	0.083
32	0.088
33	0.162
34	0.133
35	0.071
36	0.087
37	0.090
38	0.152
39	0.134
40	0.197
41	0.173
42	0.097
43	0.169
44	0.117
45	0.081
46	0.121
47	0.083
48	0.187
49	0.150
50	0.114
51	0.236
52	0.252
53	0.203
54	0.281
55	0.258
56	0.260
57	0.170
58	0.284
59	0.214
60	0.281
61	0.242
62	0.196
63	0.175
64	0.222
65	0.270
66	0.192
67	0.299
68	0.184
69	0.215
70	0.196
71	0.255
72	0.232
73	0.294
74	0.167
75	0.253
76	0.201
77	0.202
78	0.262
79	0.264
80	0.190
81	0.199
82	0.228
83	0.164
84	0.260
85	0.208
86	0.152
87	0.196
88	0.252
89	0.291
90	0.180
91	0.223
92	0.166
93	0.289
94	0.274
95	0.277
96	0.261
97	0.160
98	0.274
99	0.205
100	0.289
