CASE	BEFORE	AFTER
1	acceptable	acceptable
2	acceptable	acceptable
3	acceptable	acceptable
4	acceptable	acceptable
5	acceptable	acceptable
6	acceptable	acceptable
7	acceptable	acceptable
8	acceptable	acceptable
9	acceptable	acceptable
10	acceptable	acceptable
11	acceptable	acceptable
12	acceptable	acceptable
13	acceptable	acceptable
14	acceptable	acceptable
15	acceptable	acceptable
16	acceptable	acceptable
17	acceptable	acceptable
18	acceptable	acceptable
19	acceptable	acceptable
20	acceptable	acceptable
21	acceptable	intermediate
22	acceptable	intermediate
23	acceptable	intermediate
24	acceptable	intermediate
25	acceptable	intermediate
26	acceptable	intermediate
27	acceptable	intermediate
28	acceptable	intermediate
29	acceptable	intermediate
30	acceptable	intermediate
31	acceptable	intermediate
32	acceptable	intermediate
33	acceptable	intermediate
34	acceptable	intermediate
35	acceptable	intermediate
36	acceptable	intermediate
37	acceptable	unacceptable
38	acceptable	unacceptable
39	acceptable	unacceptable
40	acceptable	unacceptable
41	intermediate	acceptable
42	intermediate	acceptable
43	intermediate	acceptable
44	intermediate	acceptable
45	intermediate	acceptable
46	intermediate	acceptable
47	intermediate	acceptable
48	intermediate	intermediate
49	intermediate	intermediate
50	intermediate	intermediate
51	intermediate	intermediate
52	intermediate	intermediate
53	intermediate	intermediate
54	intermediate	intermediate
55	intermediate	intermediate
56	intermediate	intermediate
57	intermediate	intermediate
58	intermediate	intermediate
59	intermediate	intermediate
60	intermediate	intermediate
61	intermediate	intermediate
62	intermediate	intermediate
63	intermediate	unacceptable
64	intermediate	unacceptable
65	intermediate	unacceptable
66	intermediate	unacceptable
67	intermediate	unacceptable
68	intermediate	unacceptable
69	intermediate	unacceptable
70	intermediate	unacceptable
71	intermediate	unacceptable
72	unacceptable	acceptable
73	unacceptable	intermediate
74	unacceptable	intermediate
75	unacceptable	intermediate
76	unacceptable	intermediate
77	unacceptable	intermediate
78	unacceptable	intermediate
79	unacceptable	intermediate
80	unacceptable	intermediate
81	unacceptable	intermediate
82	unacceptable	unacceptable
83	unacceptable	unacceptable
84	unacceptable	unacceptable
85	unacceptable	unacceptable
86	unacceptable	unacceptable
87	unacceptable	unacceptable
88	unacceptable	unacceptable
89	unacceptable	unacceptable
90	unacceptable	unacceptable
91	unacceptable	unacceptable
92	unacceptable	unacceptable
93	unacceptable	unacceptable
94	unacceptable	unacceptable
95	unacceptable	unacceptable
96	unacceptable	unacceptable
97	unacceptable	unacceptable
98	unacceptable	unacceptable
99	unacceptable	unacceptable
100	unacceptable	unacceptable
