CASE	DIALECT	PREPOSITION
1	GenAm	from
2	GenAm	from
3	GenAm	from
4	GenAm	from
5	GenAm	from
6	GenAm	from
7	GenAm	from
8	GenAm	from
9	GenAm	from
10	GenAm	from
11	GenAm	from
12	GenAm	from
13	GenAm	from
14	GenAm	from
15	GenAm	from
16	GenAm	from
17	GenAm	from
18	GenAm	from
19	GenAm	from
20	GenAm	from
21	GenAm	from
22	GenAm	from
23	GenAm	from
24	GenAm	from
25	GenAm	from
26	GenAm	from
27	GenAm	from
28	GenAm	from
29	GenAm	from
30	GenAm	from
31	GenAm	from
32	GenAm	from
33	GenAm	from
34	GenAm	from
35	GenAm	from
36	GenAm	from
37	GenAm	from
38	GenAm	from
39	GenAm	from
40	GenAm	from
41	GenAm	from
42	GenAm	from
43	GenAm	from
44	GenAm	from
45	GenAm	from
46	GenAm	from
47	GenAm	from
48	GenAm	from
49	GenAm	from
50	GenAm	from
51	GenAm	from
52	GenAm	from
53	GenAm	from
54	GenAm	from
55	GenAm	from
56	GenAm	from
57	GenAm	from
58	GenAm	from
59	GenAm	from
60	GenAm	from
61	GenAm	from
62	GenAm	from
63	GenAm	from
64	GenAm	from
65	GenAm	from
66	GenAm	from
67	GenAm	from
68	GenAm	from
69	GenAm	from
70	GenAm	from
71	GenAm	from
72	GenAm	from
73	GenAm	from
74	GenAm	from
75	GenAm	from
76	GenAm	from
77	GenAm	from
78	GenAm	than
79	GenAm	than
80	GenAm	than
81	GenAm	than
82	GenAm	than
83	GenAm	than
84	GenAm	than
85	GenAm	than
86	GenAm	than
87	GenAm	than
88	GenAm	than
89	GenAm	than
90	GenAm	than
91	GenAm	than
92	GenAm	than
93	GenAm	than
94	GenAm	than
95	GenAm	than
96	GenAm	than
97	GenAm	than
98	GenAm	than
99	GenAm	than
100	GenAm	than
101	BritE	from
102	BritE	from
103	BritE	from
104	BritE	from
105	BritE	from
106	BritE	from
107	BritE	from
108	BritE	from
109	BritE	from
110	BritE	from
111	BritE	from
112	BritE	from
113	BritE	from
114	BritE	from
115	BritE	from
116	BritE	from
117	BritE	from
118	BritE	from
119	BritE	from
120	BritE	from
121	BritE	from
122	BritE	from
123	BritE	from
124	BritE	from
125	BritE	from
126	BritE	from
127	BritE	from
128	BritE	from
129	BritE	from
130	BritE	from
131	BritE	from
132	BritE	from
133	BritE	from
134	BritE	from
135	BritE	from
136	BritE	from
137	BritE	from
138	BritE	from
139	BritE	from
140	BritE	from
141	BritE	from
142	BritE	from
143	BritE	from
144	BritE	from
145	BritE	from
146	BritE	from
147	BritE	from
148	BritE	from
149	BritE	from
150	BritE	from
151	BritE	from
152	BritE	from
153	BritE	from
154	BritE	from
155	BritE	from
156	BritE	from
157	BritE	from
158	BritE	from
159	BritE	from
160	BritE	from
161	BritE	from
162	BritE	from
163	BritE	from
164	BritE	from
165	BritE	from
166	BritE	from
167	BritE	from
168	BritE	from
169	BritE	from
170	BritE	from
171	BritE	from
172	BritE	from
173	BritE	from
174	BritE	from
175	BritE	from
176	BritE	from
177	BritE	from
178	BritE	from
179	BritE	from
180	BritE	from
181	BritE	from
182	BritE	from
183	BritE	from
184	BritE	from
185	BritE	from
186	BritE	from
187	BritE	to
188	BritE	to
189	BritE	to
190	BritE	to
191	BritE	to
192	BritE	to
193	BritE	to
194	BritE	to
195	BritE	to
196	BritE	than
197	BritE	than
198	BritE	than
199	BritE	than
200	BritE	than
