STUDENT	GERMAN	ENGLISH	COURSE
1	6	10	A
2	9	15	A
3	9	12	A
4	9	15	A
5	9	11	A
6	10	13	A
7	10	10	A
8	11	14	A
9	12	17	A
10	12	18	A
11	12	15	A
12	12	16	A
13	13	18	A
14	13	14	A
15	13	19	A
16	13	20	A
17	13	21	A
18	13	15	A
19	13	17	A
20	13	16	A
21	14	18	A
22	14	16	A
23	14	16	A
24	14	24	A
25	14	16	A
26	14	17	A
27	15	20	A
28	15	17	A
29	15	23	A
30	16	20	A
31	16	19	A
32	16	23	A
33	16	23	A
34	16	21	A
35	17	17	A
36	17	23	A
37	19	25	A
38	19	23	A
39	19	26	A
40	20	24	A
41	11	27	B
42	13	33	B
43	15	35	B
44	15	35	B
45	16	38	B
46	16	34	B
47	17	41	B
48	17	44	B
49	17	40	B
50	17	40	B
51	19	45	B
52	19	43	B
53	19	41	B
54	19	44	B
55	20	46	B
56	20	45	B
57	20	46	B
58	21	49	B
59	21	50	B
60	21	49	B
61	21	50	B
62	21	48	B
63	21	49	B
64	21	46	B
65	22	53	B
66	22	51	B
67	22	49	B
68	23	53	B
69	23	49	B
70	23	52	B
71	23	54	B
72	24	55	B
73	24	54	B
74	24	55	B
75	25	60	B
76	25	58	B
77	25	56	B
78	27	58	B
79	27	65	B
80	28	64	B
