bronze	gold	silver	bar	cafe	menu	restaurant
0	0	0	3	0	0	0
0	11	0	0	0	0	1
0	1	1	0	0	0	0
0	0	0	1	0	2	0
1	0	0	1	0	0	0
0	0	0	1	0	0	0
0	0	0	1	0	0	0
0	1	0	0	0	0	0
0	0	0	1	0	0	0
0	0	0	0	1	0	0
0	0	0	0	0	0	1
0	0	1	0	0	0	0
0	0	0	1	0	0	0
0	0	0	1	0	0	0
0	0	1	0	0	0	0
0	0	0	1	0	0	0
0	0	0	1	0	0	0
0	0	0	0	0	0	1
0	0	0	2	0	0	0
0	1	0	0	0	0	0
0	1	0	0	0	0	0
0	0	0	0	0	1	0
0	1	0	0	0	0	0
0	0	0	0	1	0	0
0	0	0	1	0	0	0
0	0	0	1	0	0	0
0	0	1	0	0	0	0
1	0	0	1	0	0	0
0	0	0	0	0	0	1
0	0	0	1	0	0	0
0	1	0	0	0	0	0
0	0	2	0	0	0	0
0	0	0	0	0	1	0
0	1	0	1	0	0	0
0	11	7	13	1	2	5
0	1	0	1	0	0	0
2	1	0	4	0	0	2
0	0	0	19	4	24	48
0	0	0	0	0	0	1
3	13	4	20	3	4	8
0	0	0	1	0	0	0
0	2	0	4	0	0	4
0	1	0	0	0	0	1
0	0	0	1	0	0	0
0	0	0	1	0	0	0
0	0	0	1	0	0	0
0	0	0	0	0	1	0
0	0	0	0	1	0	0
1	2	1	2	0	0	0
0	0	0	0	1	0	0
0	1	1	0	0	0	0
0	0	1	0	0	0	0
1	3	0	1	0	0	1
0	3	1	6	0	0	2
0	1	2	2	0	0	1
1	2	1	1	0	0	0
0	0	1	0	0	0	0
0	0	0	2	0	0	0
1	0	0	0	0	0	0
0	0	0	0	0	0	1
0	1	0	0	0	0	0
0	1	0	0	0	0	0
0	1	0	0	0	0	0
0	0	0	1	0	0	0
0	1	0	0	0	0	0
0	8	1	0	0	2	5
0	1	1	0	0	0	0
0	0	0	1	0	0	1
0	1	0	0	0	0	0
2	1	0	0	0	0	0
0	0	0	0	0	0	1
0	0	0	1	0	0	0
0	0	0	1	0	0	1
1	10	1	7	0	13	3
0	0	0	1	0	0	0
0	1	2	1	1	0	0
2	11	7	43	4	13	27
0	0	0	1	0	0	0
0	1	0	0	0	1	0
0	1	2	1	0	1	0
0	0	0	1	0	0	0
0	0	0	1	0	1	0
0	0	1	2	0	0	0
0	1	0	0	0	0	0
0	1	0	0	0	0	0
0	0	0	1	0	0	0
0	0	0	3	0	0	4
0	1	1	0	0	0	0
0	0	0	1	0	0	2
25	42	21	81	13	13	59
0	0	0	1	0	0	0
4	17	8	32	1	2	5
