CASE	CONSTRUCTION	PREDICTION	RATING
1	Ditransitive	NoPref	3
2	Ditransitive	NoPref	3
3	Ditransitive	Ditransitive	3
4	Ditransitive	Ditransitive	3
5	PrepDative	NoPref	3
6	PrepDative	PrepDative	3
7	Ditransitive	NoPref	3
8	PrepDative	NoPref	3
9	Ditransitive	Ditransitive	3
10	Ditransitive	Ditransitive	3
11	Ditransitive	NoPref	3
12	PrepDative	PrepDative	3
13	Ditransitive	Ditransitive	3
14	Ditransitive	NoPref	3
15	PrepDative	Ditransitive	3
16	Ditransitive	NoPref	3
17	PrepDative	PrepDative	3
18	PrepDative	NoPref	3
19	PrepDative	PrepDative	3
20	Ditransitive	PrepDative	3
21	PrepDative	PrepDative	3
22	Ditransitive	Ditransitive	3
23	PrepDative	PrepDative	3
24	Ditransitive	NoPref	3
25	PrepDative	NoPref	3
26	PrepDative	PrepDative	3
27	Ditransitive	NoPref	3
28	Ditransitive	NoPref	3
29	PrepDative	PrepDative	3
30	PrepDative	PrepDative	3
31	PrepDative	NoPref	3
32	PrepDative	Ditransitive	3
33	PrepDative	Ditransitive	3
34	PrepDative	NoPref	3
35	PrepDative	NoPref	3
36	PrepDative	PrepDative	3
37	Ditransitive	NoPref	3
38	Ditransitive	NoPref	3
39	Ditransitive	NoPref	3
40	Ditransitive	NoPref	3
41	Ditransitive	Ditransitive	3
42	Ditransitive	NoPref	3
43	Ditransitive	NoPref	3
44	Ditransitive	Ditransitive	3
45	Ditransitive	NoPref	3
46	Ditransitive	NoPref	3
47	PrepDative	PrepDative	3
48	Ditransitive	Ditransitive	3
49	PrepDative	PrepDative	3
50	Ditransitive	Ditransitive	3
51	Ditransitive	NoPref	3
52	Ditransitive	NoPref	3
53	Ditransitive	Ditransitive	3
54	Ditransitive	NoPref	3
55	Ditransitive	NoPref	3
56	PrepDative	PrepDative	3
57	Ditransitive	Ditransitive	3
58	Ditransitive	NoPref	3
59	Ditransitive	Ditransitive	3
60	PrepDative	PrepDative	3
61	PrepDative	PrepDative	2
62	Ditransitive	Ditransitive	2
63	Ditransitive	NoPref	2
64	Ditransitive	Ditransitive	2
65	PrepDative	PrepDative	2
