CASE	STUDENT	COURSE	LANGUAGE	MISTAKES
1	1	A	german	6
2	1	A	english	10
3	2	A	german	9
4	2	A	english	15
5	3	A	german	9
6	3	A	english	12
7	4	A	german	9
8	4	A	english	15
9	5	A	german	9
10	5	A	english	11
11	6	A	german	10
12	6	A	english	13
13	7	A	german	10
14	7	A	english	10
15	8	A	german	11
16	8	A	english	14
17	9	A	german	12
18	9	A	english	17
19	10	A	german	12
20	10	A	english	18
21	11	A	german	12
22	11	A	english	15
23	12	A	german	12
24	12	A	english	16
25	13	A	german	13
26	13	A	english	18
27	14	A	german	13
28	14	A	english	14
29	15	A	german	13
30	15	A	english	19
31	16	A	german	13
32	16	A	english	20
33	17	A	german	13
34	17	A	english	21
35	18	A	german	13
36	18	A	english	15
37	19	A	german	13
38	19	A	english	17
39	20	A	german	13
40	20	A	english	16
41	21	A	german	14
42	21	A	english	18
43	22	A	german	14
44	22	A	english	16
45	23	A	german	14
46	23	A	english	16
47	24	A	german	14
48	24	A	english	24
49	25	A	german	14
50	25	A	english	16
51	26	A	german	14
52	26	A	english	17
53	27	A	german	15
54	27	A	english	20
55	28	A	german	15
56	28	A	english	17
57	29	A	german	15
58	29	A	english	23
59	30	A	german	16
60	30	A	english	20
61	31	A	german	16
62	31	A	english	19
63	32	A	german	16
64	32	A	english	23
65	33	A	german	16
66	33	A	english	23
67	34	A	german	16
68	34	A	english	21
69	35	A	german	17
70	35	A	english	17
71	36	A	german	17
72	36	A	english	23
73	37	A	german	19
74	37	A	english	25
75	38	A	german	19
76	38	A	english	23
77	39	A	german	19
78	39	A	english	26
79	40	A	german	20
80	40	A	english	24
81	41	B	german	11
82	41	B	english	27
83	42	B	german	13
84	42	B	english	33
85	43	B	german	15
86	43	B	english	35
87	44	B	german	15
88	44	B	english	35
89	45	B	german	16
90	45	B	english	38
91	46	B	german	16
92	46	B	english	34
93	47	B	german	17
94	47	B	english	41
95	48	B	german	17
96	48	B	english	44
97	49	B	german	17
98	49	B	english	40
99	50	B	german	17
100	50	B	english	40
101	51	B	german	19
102	51	B	english	45
103	52	B	german	19
104	52	B	english	43
105	53	B	german	19
106	53	B	english	41
107	54	B	german	19
108	54	B	english	44
109	55	B	german	20
110	55	B	english	46
111	56	B	german	20
112	56	B	english	45
113	57	B	german	20
114	57	B	english	46
115	58	B	german	21
116	58	B	english	49
117	59	B	german	21
118	59	B	english	50
119	60	B	german	21
120	60	B	english	49
121	61	B	german	21
122	61	B	english	50
123	62	B	german	21
124	62	B	english	48
125	63	B	german	21
126	63	B	english	49
127	64	B	german	21
128	64	B	english	46
129	65	B	german	22
130	65	B	english	53
131	66	B	german	22
132	66	B	english	51
133	67	B	german	22
134	67	B	english	49
135	68	B	german	23
136	68	B	english	53
137	69	B	german	23
138	69	B	english	49
139	70	B	german	23
140	70	B	english	52
141	71	B	german	23
142	71	B	english	54
143	72	B	german	24
144	72	B	english	55
145	73	B	german	24
146	73	B	english	54
147	74	B	german	24
148	74	B	english	55
149	75	B	german	25
150	75	B	english	60
151	76	B	german	25
152	76	B	english	58
153	77	B	german	25
154	77	B	english	56
155	78	B	german	27
156	78	B	english	58
157	79	B	german	27
158	79	B	english	65
159	80	B	german	28
160	80	B	english	64
