CASE	STUDENT	COURSE	GERMAN	ENGLISH
1	1	A	6	10
2	2	A	9	15
3	3	A	9	12
4	4	A	9	15
5	5	A	9	11
6	6	A	10	13
7	7	A	10	10
8	8	A	11	14
9	9	A	12	17
10	10	A	12	18
11	11	A	12	15
12	12	A	12	16
13	13	A	13	18
14	14	A	13	14
15	15	A	13	19
16	16	A	13	20
17	17	A	13	21
18	18	A	13	15
19	19	A	13	17
20	20	A	13	16
21	21	A	14	18
22	22	A	14	16
23	23	A	14	16
24	24	A	14	24
25	25	A	14	16
26	26	A	14	17
27	27	A	15	20
28	28	A	15	17
29	29	A	15	23
30	30	A	16	20
31	31	A	16	19
32	32	A	16	23
33	33	A	16	23
34	34	A	16	21
35	35	A	17	17
36	36	A	17	23
37	37	A	19	25
38	38	A	19	23
39	39	A	19	26
40	40	A	20	24
41	41	B	11	27
42	42	B	13	33
43	43	B	15	35
44	44	B	15	35
45	45	B	16	38
46	46	B	16	34
47	47	B	17	41
48	48	B	17	44
49	49	B	17	40
50	50	B	17	40
51	51	B	19	45
52	52	B	19	43
53	53	B	19	41
54	54	B	19	44
55	55	B	20	46
56	56	B	20	45
57	57	B	20	46
58	58	B	21	49
59	59	B	21	50
60	60	B	21	49
61	61	B	21	50
62	62	B	21	48
63	63	B	21	49
64	64	B	21	46
65	65	B	22	53
66	66	B	22	51
67	67	B	22	49
68	68	B	23	53
69	69	B	23	49
70	70	B	23	52
71	71	B	23	54
72	72	B	24	55
73	73	B	24	54
74	74	B	24	55
75	75	B	25	60
76	76	B	25	58
77	77	B	25	56
78	78	B	27	58
79	79	B	27	65
80	80	B	28	64
