SENTENCE	V1C1	V1C2	V1C3	V1C4	V2C1	V2C2	V2C3	V2C4	V3C1	V3C2	V3C3	V3C4	V4C1	V4C2	V4C3	V4C4
V1C1	20	5	5	4	14	1	0	1	12	0	0	2	12	0	3	1
V1C2	5	20	6	3	3	13	1	1	0	12	1	1	1	12	1	0
V1C3	5	6	20	5	1	0	11	4	0	0	11	2	0	0	12	3
V1C4	4	3	5	20	2	0	0	12	2	3	3	10	0	1	3	12
V2C1	14	3	1	2	20	3	4	3	11	0	1	0	13	0	3	2
V2C2	1	13	0	0	3	20	4	5	0	12	1	2	2	16	0	1
V2C3	0	1	11	0	4	4	20	3	1	0	11	1	6	2	13	3
V2C4	1	1	4	12	3	5	3	20	0	0	1	14	0	2	2	12
V3C1	12	0	0	2	11	0	1	0	20	7	8	5	13	1	0	0
V3C2	0	12	0	3	0	12	0	0	7	20	7	4	0	14	0	1
V3C3	0	1	11	3	1	1	11	1	8	7	20	4	1	1	9	1
V3C4	2	1	2	10	0	2	1	14	5	4	4	20	1	1	2	11
V4C1	12	1	0	0	13	2	6	0	13	0	1	1	20	4	4	3
V4C2	0	12	0	1	0	16	2	2	1	14	1	1	4	20	2	4
V4C3	3	1	12	3	3	0	13	2	0	0	9	2	4	2	20	6
V4C4	1	0	3	12	2	1	3	12	0	1	1	11	3	4	6	20
