CASE	CONSTRUCTION	GIVENNESS	STUDY
1	V_DO_Part	given	Peters
2	V_DO_Part	given	Peters
3	V_DO_Part	given	Peters
4	V_DO_Part	given	Peters
5	V_DO_Part	given	Peters
6	V_DO_Part	given	Peters
7	V_DO_Part	given	Peters
8	V_DO_Part	given	Peters
9	V_DO_Part	given	Peters
10	V_DO_Part	given	Peters
11	V_DO_Part	given	Peters
12	V_DO_Part	given	Peters
13	V_DO_Part	given	Peters
14	V_DO_Part	given	Peters
15	V_DO_Part	given	Peters
16	V_DO_Part	given	Peters
17	V_DO_Part	given	Peters
18	V_DO_Part	given	Peters
19	V_DO_Part	given	Peters
20	V_DO_Part	given	Peters
21	V_DO_Part	given	Peters
22	V_DO_Part	given	Peters
23	V_DO_Part	given	Peters
24	V_DO_Part	given	Peters
25	V_DO_Part	given	Peters
26	V_DO_Part	given	Peters
27	V_DO_Part	given	Peters
28	V_DO_Part	given	Peters
29	V_DO_Part	given	Peters
30	V_DO_Part	given	Peters
31	V_DO_Part	given	Peters
32	V_DO_Part	given	Peters
33	V_DO_Part	given	Peters
34	V_DO_Part	given	Peters
35	V_DO_Part	given	Peters
36	V_DO_Part	given	Peters
37	V_DO_Part	given	Peters
38	V_DO_Part	given	Peters
39	V_DO_Part	given	Peters
40	V_DO_Part	given	Peters
41	V_DO_Part	given	Peters
42	V_DO_Part	given	Peters
43	V_DO_Part	given	Peters
44	V_DO_Part	given	Peters
45	V_DO_Part	given	Peters
46	V_DO_Part	given	Peters
47	V_DO_Part	given	Peters
48	V_DO_Part	given	Peters
49	V_DO_Part	given	Peters
50	V_DO_Part	given	Peters
51	V_DO_Part	given	Peters
52	V_DO_Part	given	Peters
53	V_DO_Part	given	Peters
54	V_DO_Part	given	Peters
55	V_DO_Part	given	Peters
56	V_DO_Part	given	Peters
57	V_DO_Part	given	Peters
58	V_DO_Part	given	Peters
59	V_DO_Part	given	Peters
60	V_DO_Part	given	Peters
61	V_DO_Part	given	Peters
62	V_DO_Part	given	Peters
63	V_DO_Part	given	Peters
64	V_DO_Part	given	Peters
65	V_DO_Part	given	Peters
66	V_DO_Part	given	Peters
67	V_DO_Part	given	Peters
68	V_DO_Part	given	Peters
69	V_DO_Part	given	Peters
70	V_DO_Part	given	Peters
71	V_DO_Part	given	Peters
72	V_DO_Part	given	Peters
73	V_DO_Part	given	Peters
74	V_DO_Part	given	Peters
75	V_DO_Part	given	Peters
76	V_DO_Part	given	Peters
77	V_DO_Part	given	Peters
78	V_DO_Part	given	Peters
79	V_DO_Part	given	Peters
80	V_DO_Part	given	Peters
81	V_DO_Part	given	Peters
82	V_DO_Part	given	Peters
83	V_DO_Part	given	Peters
84	V_DO_Part	given	Peters
85	V_DO_Part	given	Peters
86	V_DO_Part	new	Peters
87	V_DO_Part	new	Peters
88	V_DO_Part	new	Peters
89	V_DO_Part	new	Peters
90	V_DO_Part	new	Peters
91	V_DO_Part	new	Peters
92	V_DO_Part	new	Peters
93	V_DO_Part	new	Peters
94	V_DO_Part	new	Peters
95	V_DO_Part	new	Peters
96	V_DO_Part	new	Peters
97	V_DO_Part	new	Peters
98	V_DO_Part	new	Peters
99	V_DO_Part	new	Peters
100	V_DO_Part	new	Peters
101	V_DO_Part	new	Peters
102	V_DO_Part	new	Peters
103	V_DO_Part	new	Peters
104	V_DO_Part	new	Peters
105	V_DO_Part	new	Peters
106	V_DO_Part	new	Peters
107	V_DO_Part	new	Peters
108	V_DO_Part	new	Peters
109	V_DO_Part	new	Peters
110	V_DO_Part	new	Peters
111	V_DO_Part	new	Peters
112	V_DO_Part	new	Peters
113	V_DO_Part	new	Peters
114	V_DO_Part	new	Peters
115	V_DO_Part	new	Peters
116	V_DO_Part	new	Peters
117	V_DO_Part	new	Peters
118	V_DO_Part	new	Peters
119	V_DO_Part	new	Peters
120	V_DO_Part	new	Peters
121	V_DO_Part	new	Peters
122	V_DO_Part	new	Peters
123	V_DO_Part	new	Peters
124	V_DO_Part	new	Peters
125	V_DO_Part	new	Peters
126	V_DO_Part	new	Peters
127	V_DO_Part	new	Peters
128	V_DO_Part	new	Peters
129	V_DO_Part	new	Peters
130	V_DO_Part	new	Peters
131	V_DO_Part	new	Peters
132	V_DO_Part	new	Peters
133	V_DO_Part	new	Peters
134	V_DO_Part	new	Peters
135	V_DO_Part	new	Peters
136	V_DO_Part	new	Peters
137	V_DO_Part	new	Peters
138	V_DO_Part	new	Peters
139	V_DO_Part	new	Peters
140	V_DO_Part	new	Peters
141	V_DO_Part	new	Peters
142	V_DO_Part	new	Peters
143	V_DO_Part	new	Peters
144	V_DO_Part	new	Peters
145	V_DO_Part	new	Peters
146	V_DO_Part	new	Peters
147	V_DO_Part	new	Peters
148	V_DO_Part	new	Peters
149	V_DO_Part	new	Peters
150	V_DO_Part	new	Peters
151	V_Part_DO	given	Peters
152	V_Part_DO	given	Peters
153	V_Part_DO	given	Peters
154	V_Part_DO	given	Peters
155	V_Part_DO	given	Peters
156	V_Part_DO	given	Peters
157	V_Part_DO	given	Peters
158	V_Part_DO	given	Peters
159	V_Part_DO	given	Peters
160	V_Part_DO	given	Peters
161	V_Part_DO	given	Peters
162	V_Part_DO	given	Peters
163	V_Part_DO	given	Peters
164	V_Part_DO	given	Peters
165	V_Part_DO	given	Peters
166	V_Part_DO	given	Peters
167	V_Part_DO	given	Peters
168	V_Part_DO	given	Peters
169	V_Part_DO	given	Peters
170	V_Part_DO	given	Peters
171	V_Part_DO	given	Peters
172	V_Part_DO	given	Peters
173	V_Part_DO	given	Peters
174	V_Part_DO	given	Peters
175	V_Part_DO	given	Peters
176	V_Part_DO	given	Peters
177	V_Part_DO	given	Peters
178	V_Part_DO	given	Peters
179	V_Part_DO	given	Peters
180	V_Part_DO	given	Peters
