MANNER	PLACE	VOICE	SUFFIX
affricate	alveo_palatal	voiced	ness
affricate	alveo_palatal	voiced	ness
affricate	alveo_palatal	voiced	ness
plosive	bilabial	voiced	ness
plosive	bilabial	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
plosive	alveolar	voiced	ness
fricative	alveolar	voiced	ness
fricative	labiodental	voiceless	ness
fricative	labiodental	voiceless	ness
fricative	labiodental	voiceless	ness
fricative	labiodental	voiceless	ness
fricative	labiodental	voiceless	ness
fricative	labiodental	voiceless	ness
fricative	labiodental	voiceless	ness
plosive	velar	voiced	ness
plosive	velar	voiced	ness
plosive	velar	voiced	ness
plosive	velar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
affricate	alveo_palatal	voiceless	ness
affricate	alveo_palatal	voiceless	ness
affricate	alveo_palatal	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
plosive	velar	voiceless	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
approximant	alveolar	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	bilabial	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
nasal	alveolar	voiced	ness
