CASE	GENDER	METHOD	SCHOOL	SCORE
1	female	one	one	5
2	female	one	two	4
3	female	one	three	2
4	female	two	four	7
5	female	two	five	8
6	female	two	six	7
7	female	one	one	4
8	female	one	two	3
9	female	one	three	4
10	female	two	four	5
11	female	two	five	7
12	female	two	six	7
13	female	one	one	3
14	female	one	two	2
15	female	one	three	3
16	female	two	four	6
17	female	two	five	6
18	female	two	six	4
19	female	one	one	2
20	female	one	two	3
21	female	one	three	4
22	female	two	four	4
23	female	two	five	5
24	female	two	six	6
25	female	one	one	4
26	female	one	two	2
27	female	one	three	3
28	female	two	four	5
29	female	two	five	6
30	female	two	six	3
31	male	one	one	5
32	male	one	two	4
33	male	one	three	5
34	male	two	four	9
35	male	two	five	7
36	male	two	six	9
37	male	one	one	4
38	male	one	two	3
39	male	one	three	4
40	male	two	four	8
41	male	two	five	8
42	male	two	six	8
43	male	one	one	2
44	male	one	two	4
45	male	one	three	3
46	male	two	four	7
47	male	two	five	8
48	male	two	six	9
49	male	one	one	3
50	male	one	two	2
51	male	one	three	2
52	male	two	four	8
53	male	two	five	9
54	male	two	six	9
55	male	one	one	4
56	male	one	two	4
57	male	one	three	3
58	male	two	four	9
59	male	two	five	8
60	male	two	six	9
