subject_ID,lemma,gender,age,education,grade,error
325,aanbidden,male,17,general,Gr3,0
563,aanbidden,female,18,technical,Gr3,0
742,aanbieden,male,18,vocational,Gr3,0
899,aanbieden,male,17,vocational,Gr3,0
625,aanbieden,female,16,general,Gr2,0
1277,aanbieden,female,18,general,Gr3,0
website425,aanbieden,female,15,vocational,Gr2,0
640,aanduiden,female,17,general,Gr3,0
website213,aanduiden,female,17,technical,Gr3,0
website285,aanmelden,male,17,technical,Gr3,1
1290,aanraden,female,16,general,Gr2,0
1275,aanrijden,male,17,general,Gr3,0
324,aanvaarden,female,16,technical,Gr2,1
404,aanvaarden,female,16,technical,Gr2,1
502,aanvaarden,female,17,technical,Gr3,0
563,aanvaarden,female,17,technical,Gr3,1
1189,aanvaarden,female,16,technical,Gr2,1
1189,aanvaarden,female,16,technical,Gr2,1
1299,aanvaarden,male,17,technical,Gr3,0
1299,aanvaarden,male,17,technical,Gr3,0
1299,aanvaarden,male,17,technical,Gr3,0
website301,aanvaarden,female,15,technical,Gr2,0
website347,aanvaarden,female,18,technical,Gr3,0
429,achterhouden,female,18,general,Gr3,1
404,afleiden,female,16,technical,Gr2,1
1275,afleiden,male,17,general,Gr3,0
website211,afleiden,female,19,technical,Gr3,0
1275,afronden,male,17,general,Gr3,1
1394,afronden,female,15,general,Gr2,1
website435,afronden,female,16,general,Gr2,0
21,antwoorden,male,15,general,Gr2,1
135,antwoorden,male,16,vocational,Gr2,1
161,antwoorden,female,16,general,Gr2,1
244,antwoorden,female,15,general,Gr2,1
288,antwoorden,male,17,general,Gr3,1
288,antwoorden,male,15,general,Gr2,1
310,antwoorden,female,16,general,Gr2,0
314,antwoorden,female,15,general,Gr2,1
324,antwoorden,female,16,technical,Gr2,0
324,antwoorden,female,17,technical,Gr3,1
324,antwoorden,female,16,technical,Gr2,1
324,antwoorden,female,16,technical,Gr2,1
324,antwoorden,female,16,technical,Gr2,1
324,antwoorden,female,16,technical,Gr2,1
324,antwoorden,female,16,technical,Gr2,1
324,antwoorden,female,16,technical,Gr2,1
324,antwoorden,female,16,technical,Gr2,1
334,antwoorden,male,17,general,Gr3,1
404,antwoorden,female,16,technical,Gr2,0
404,antwoorden,female,16,technical,Gr2,0
404,antwoorden,female,16,technical,Gr2,0
404,antwoorden,female,16,technical,Gr2,0
404,antwoorden,female,16,technical,Gr2,1
404,antwoorden,female,16,technical,Gr2,1
404,antwoorden,female,16,technical,Gr2,1
404,antwoorden,female,16,technical,Gr2,1
404,antwoorden,female,17,technical,Gr3,1
404,antwoorden,female,16,technical,Gr2,1
404,antwoorden,female,16,technical,Gr2,1
406,antwoorden,male,17,general,Gr3,1
429,antwoorden,female,18,general,Gr3,1
433,antwoorden,female,17,general,Gr3,1
433,antwoorden,female,17,general,Gr3,1
455,antwoorden,female,18,vocational,Gr3,1
462,antwoorden,female,15,technical,Gr2,1
462,antwoorden,female,15,technical,Gr2,1
462,antwoorden,female,15,technical,Gr2,1
462,antwoorden,female,15,technical,Gr2,1
469,antwoorden,male,18,general,Gr3,1
482,antwoorden,female,16,general,Gr2,0
486,antwoorden,female,16,technical,Gr2,0
486,antwoorden,female,16,technical,Gr2,1
486,antwoorden,female,16,technical,Gr2,1
497,antwoorden,male,16,technical,Gr2,1
530,antwoorden,female,17,technical,Gr3,1
532,antwoorden,female,17,technical,Gr3,1
533,antwoorden,female,17,technical,Gr3,1
549,antwoorden,female,18,technical,Gr3,1
557,antwoorden,male,17,technical,Gr3,0
557,antwoorden,male,17,technical,Gr3,1
557,antwoorden,male,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,0
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,18,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
563,antwoorden,female,17,technical,Gr3,1
567,antwoorden,female,16,technical,Gr2,1
569,antwoorden,female,16,technical,Gr2,1
571,antwoorden,female,16,technical,Gr2,0
571,antwoorden,female,17,technical,Gr3,0
571,antwoorden,female,16,technical,Gr2,0
571,antwoorden,female,16,technical,Gr2,1
571,antwoorden,female,16,technical,Gr2,1
571,antwoorden,female,16,technical,Gr2,1
571,antwoorden,female,16,technical,Gr2,1
571,antwoorden,female,16,technical,Gr2,1
571,antwoorden,female,16,technical,Gr2,1
577,antwoorden,female,16,technical,Gr2,0
577,antwoorden,female,15,technical,Gr2,1
592,antwoorden,male,16,technical,Gr2,1
610,antwoorden,female,17,technical,Gr3,0
619,antwoorden,female,16,technical,Gr2,1
625,antwoorden,female,17,general,Gr3,0
625,antwoorden,female,17,general,Gr3,1
625,antwoorden,female,17,general,Gr3,1
625,antwoorden,female,17,general,Gr3,1
629,antwoorden,female,18,general,Gr3,0
629,antwoorden,female,17,general,Gr3,1
629,antwoorden,female,18,general,Gr3,1
631,antwoorden,female,17,general,Gr3,1
654,antwoorden,female,15,vocational,Gr2,1
655,antwoorden,male,18,technical,Gr3,0
655,antwoorden,male,17,technical,Gr3,1
717,antwoorden,female,16,vocational,Gr2,1
742,antwoorden,male,17,vocational,Gr3,0
742,antwoorden,male,18,vocational,Gr3,0
742,antwoorden,male,18,vocational,Gr3,0
742,antwoorden,male,18,vocational,Gr3,1
742,antwoorden,male,18,vocational,Gr3,1
742,antwoorden,male,18,vocational,Gr3,1
742,antwoorden,male,18,vocational,Gr3,1
742,antwoorden,male,18,vocational,Gr3,1
742,antwoorden,male,18,vocational,Gr3,1
767,antwoorden,female,16,vocational,Gr2,1
768,antwoorden,female,17,vocational,Gr3,1
768,antwoorden,female,17,vocational,Gr3,1
867,antwoorden,female,16,general,Gr2,1
1059,antwoorden,male,16,general,Gr2,1
1119,antwoorden,female,17,technical,Gr3,1
1177,antwoorden,female,15,general,Gr2,1
1177,antwoorden,female,15,general,Gr2,1
1189,antwoorden,female,16,technical,Gr2,0
1189,antwoorden,female,16,technical,Gr2,1
1189,antwoorden,female,16,technical,Gr2,1
1189,antwoorden,female,16,technical,Gr2,1
1276,antwoorden,female,18,general,Gr3,1
1290,antwoorden,female,16,general,Gr2,0
1299,antwoorden,male,16,technical,Gr2,0
1299,antwoorden,male,18,technical,Gr3,1
1305,antwoorden,female,18,general,Gr3,0
1312,antwoorden,female,18,general,Gr3,0
1323,antwoorden,male,17,general,Gr3,1
1334,antwoorden,female,18,general,Gr3,0
1394,antwoorden,female,15,general,Gr2,1
1504,antwoorden,male,17,vocational,Gr3,1
1950,antwoorden,female,19,vocational,Gr3,0
1950,antwoorden,female,18,vocational,Gr3,1
1951,antwoorden,male,17,vocational,Gr3,0
1957,antwoorden,female,16,vocational,Gr2,1
1957,antwoorden,female,16,vocational,Gr2,1
1958,antwoorden,female,16,vocational,Gr2,1
2171,antwoorden,female,16,technical,Gr2,1
2215,antwoorden,female,15,vocational,Gr2,1
website119,antwoorden,male,16,general,Gr2,1
website190,antwoorden,male,16,general,Gr2,1
website190,antwoorden,male,16,general,Gr2,1
website190,antwoorden,male,17,general,Gr3,1
website207,antwoorden,female,19,technical,Gr3,1
website207,antwoorden,female,18,technical,Gr3,1
website208,antwoorden,female,15,technical,Gr2,1
website211,antwoorden,female,18,technical,Gr3,1
website211,antwoorden,female,18,technical,Gr3,1
website212,antwoorden,female,18,technical,Gr3,1
website213,antwoorden,female,18,technical,Gr3,0
website213,antwoorden,female,15,technical,Gr2,1
website213,antwoorden,female,18,technical,Gr3,1
website213,antwoorden,female,17,technical,Gr3,1
website215,antwoorden,male,17,technical,Gr3,1
website215,antwoorden,male,17,technical,Gr3,1
website215,antwoorden,male,17,technical,Gr3,1
website233,antwoorden,male,18,technical,Gr3,0
website233,antwoorden,male,19,technical,Gr3,1
website233,antwoorden,male,18,technical,Gr3,1
website233,antwoorden,male,18,technical,Gr3,1
website233,antwoorden,male,18,technical,Gr3,1
website233,antwoorden,male,18,technical,Gr3,1
website252,antwoorden,female,18,technical,Gr3,1
website252,antwoorden,female,16,technical,Gr2,1
website252,antwoorden,female,16,technical,Gr2,1
website253,antwoorden,male,17,technical,Gr3,1
website254,antwoorden,female,18,technical,Gr3,0
website254,antwoorden,female,17,technical,Gr3,0
website267,antwoorden,female,16,technical,Gr2,1
website281,antwoorden,male,19,technical,Gr3,1
website282,antwoorden,female,15,technical,Gr2,0
website282,antwoorden,female,18,technical,Gr3,1
website283,antwoorden,female,17,technical,Gr3,0
website290,antwoorden,male,18,technical,Gr3,0
website297,antwoorden,female,18,technical,Gr3,1
website301,antwoorden,female,15,technical,Gr2,1
website301,antwoorden,female,15,technical,Gr2,1
website301,antwoorden,female,15,technical,Gr2,1
website301,antwoorden,female,15,technical,Gr2,1
website301,antwoorden,female,15,technical,Gr2,1
website301,antwoorden,female,15,technical,Gr2,1
website301,antwoorden,female,15,technical,Gr2,1
